"","�..Tipo","Bairro","Quartos","Vagas","Suites","Area","Valor","Condominio","IPTU"
"137","Conjunto Comercial/Sala","Centro",0,0,0,55,900,1240,240
"138","Apartamento","Jardim Carioca",2,1,0,55,1350,430,47
"139","Casa","Maracanã",8,3,5,259,7000,NA,NA
"140","Apartamento","Leblon",3,1,0,85,3900,800,1211
"141","Apartamento","Catete",2,0,0,75,3350,455,NA
"142","Apartamento","Recreio dos Bandeirantes",3,2,1,90,1200,880,144
"143","Casa","Benfica",1,0,0,33,1200,NA,NA
"144","Quitinete","Glória",1,0,0,16,1400,300,210
"145","Conjunto Comercial/Sala","Centro",0,0,0,212,13000,4700,1350
"146","Conjunto Comercial/Sala","Freguesia (Jacarepaguá)",0,0,0,22,490,450,525
"147","Conjunto Comercial/Sala","Barra da Tijuca",0,1,0,20,445,791,1041
"148","Apartamento","Praça Seca",2,0,0,80,900,350,NA
"149","Apartamento","Vila Isabel",1,0,0,37,1000,285,24
"150","Galpão/Depósito/Armazém","Quintino Bocaiúva",0,0,0,550,4300,NA,NA
"151","Conjunto Comercial/Sala","Campo Grande",0,0,0,20,800,NA,NA
"152","Conjunto Comercial/Sala","São Francisco Xavier",0,1,0,27,1500,580,NA
"153","Apartamento","Copacabana",3,0,0,150,5500,1780,420
"154","Apartamento","Lagoa",3,1,1,127,5000,1540,370
"155","Apartamento","Freguesia (Jacarepaguá)",2,1,1,74,1700,652,104
"156","Conjunto Comercial/Sala","Barra da Tijuca",0,1,0,32,1300,935,217
"157","Conjunto Comercial/Sala","Barra da Tijuca",0,0,0,28,800,550,NA
"158","Conjunto Comercial/Sala","Barra da Tijuca",0,1,0,45,1600,1100,350
"159","Apartamento","Barra da Tijuca",3,2,1,128,3000,1384,324
"160","Terreno Padrão","Barra da Tijuca",0,0,0,1110,140000,NA,NA
"161","Apartamento","Gávea",3,1,1,160,8000,2000,NA
"162","Conjunto Comercial/Sala","Centro",0,0,0,154,3900,5100,559
"163","Apartamento","Copacabana",3,1,1,200,6200,1800,420
"164","Apartamento","Barra da Tijuca",2,1,0,58,1500,666,106
"165","Apartamento","Botafogo",3,1,1,100,5500,1300,220
"166","Apartamento","Barra da Tijuca",4,2,3,320,5500,2700,800
"167","Apartamento","Rocha Miranda",2,1,0,50,1100,NA,NA
"168","Apartamento","Recreio dos Bandeirantes",2,1,1,75,1000,1040,112
"169","Conjunto Comercial/Sala","Barra da Tijuca",0,0,0,21,1200,588,NA
"170","Conjunto Comercial/Sala","Freguesia (Jacarepaguá)",0,0,0,22,500,600,85
"171","Apartamento","Ipanema",2,0,2,52,10000,3689,393
"172","Conjunto Comercial/Sala","Recreio dos Bandeirantes",0,1,0,48,2000,1064,NA
"173","Loja/Salão","Barra da Tijuca",0,1,0,120,4000,1400,1500
"174","Apartamento","Leblon",4,4,4,380,40000,4700,1500
"175","Conjunto Comercial/Sala","Centro",0,0,0,35,1000,322,33
"176","Conjunto Comercial/Sala","Tijuca",0,1,0,20,1000,690,58
"177","Loja/Salão","Barra da Tijuca",0,1,0,50,4500,1172,1327
"178","Apartamento","Recreio dos Bandeirantes",3,2,1,104,2200,740,258
"179","Conjunto Comercial/Sala","Centro",0,0,0,120,3000,1380,509
"180","Apartamento","Barra da Tijuca",2,1,1,72,2600,1700,237
"181","Apartamento","Taquara",2,1,0,75,1200,330,75
"182","Conjunto Comercial/Sala","Recreio dos Bandeirantes",0,8,0,380,18000,5276,1851
"183","Apartamento","Botafogo",4,1,1,190,5500,1720,350
"184","Quitinete","Catete",0,0,0,20,700,500,28
"185","Apartamento","Ipanema",4,6,1,700,65000,8860,5699
"186","Apartamento","Méier",2,0,0,56,899,402,135
"187","Conjunto Comercial/Sala","Centro",0,0,0,270,7000,2800,1249
"188","Apartamento","Freguesia (Jacarepaguá)",2,1,1,71,1200,600,54
"189","Apartamento","Lagoa",3,1,2,105,3600,1100,281
"190","Apartamento","Copacabana",3,1,1,500,15000,2580,366
"191","Apartamento","Tijuca",3,0,0,87,1600,650,100
"192","Apartamento","Botafogo",1,0,0,35,1500,470,50
"193","Conjunto Comercial/Sala","Barra da Tijuca",0,1,0,24,700,628,1120
"194","Conjunto Comercial/Sala","Tijuca",0,0,0,21,1000,520,116
"195","Apartamento","Barra da Tijuca",1,1,1,65,2350,NA,NA
"196","Apartamento","Ipanema",3,3,1,220,22000,4000,1200
"197","Apartamento","Copacabana",3,0,0,100,3300,850,90
"198","Apartamento","Barra da Tijuca",3,1,2,93,2500,1100,NA
"199","Apartamento","Engenho Novo",2,2,0,78,800,915,55
"200","Apartamento","Barra da Tijuca",2,1,1,85,2500,1573,197
"201","Apartamento","Leblon",2,1,1,115,7500,980,270
"202","Apartamento","Botafogo",2,1,1,70,3700,1133,147
"203","Apartamento","Freguesia (Jacarepaguá)",2,1,1,95,1600,650,NA
"204","Apartamento","Barra da Tijuca",4,4,4,392,30000,7000,3000
